fare_pkr,trip_duration_min,driver_rating,surge_multiplier,hour,day_of_week,month,quarter,is_weekend,is_holiday,hour_sin,hour_cos,month_sin,month_cos,city_Karachi,city_Lahore,city_Peshawar,city_Quetta,vehicle_type_SUV,vehicle_type_Sedan,vehicle_type_Van,weather_Foggy,weather_Rainy,weather_Unknown,weather_Windy,effective_fare,fare_per_min,is_peak_hour,is_night_ride,is_high_surge,fare_efficiency
144.51,5.7,4.1,1.0,6,2,1,1,0,0,1.0,0.0,0.5,0.866025,0,1,0,0,0,0,1,0,0,0,0,144.51,25.3526,0,0,0,144.51
100.72,5.8,3.8,1.2,12,2,1,1,0,0,0.0,-1.0,0.5,0.866025,0,0,1,0,0,0,0,0,1,0,0,120.86,17.3655,0,0,0,83.93333333333334
324.75,51.0,4.7,1.2,18,2,1,1,0,0,-1.0,-0.0,0.5,0.866025,0,1,0,0,0,0,0,0,1,0,0,389.7,6.3676,1,0,0,270.625
620.05,39.5,5.0,1.0,0,3,1,1,0,0,0.0,1.0,0.5,0.866025,0,0,1,0,1,0,0,0,0,0,0,620.05,15.6975,0,1,0,620.05
366.28,17.7,4.0,1.0,6,3,1,1,0,0,1.0,0.0,0.5,0.866025,0,0,0,1,0,1,0,0,1,0,0,366.28,20.6938,0,0,0,366.28
565.22,21.1,3.7,1.5,12,3,1,1,0,0,0.0,-1.0,0.5,0.866025,1,0,0,0,0,0,0,0,0,0,0,847.83,26.7877,0,0,0,376.81333333333333
579.39,14.1,4.8,1.0,18,3,1,1,0,0,-1.0,-0.0,0.5,0.866025,0,0,1,0,0,0,0,0,1,0,0,579.39,41.0915,1,0,0,579.39
615.54,10.9,4.5,1.0,0,4,1,1,0,0,0.0,1.0,0.5,0.866025,0,1,0,0,0,0,0,0,0,0,0,615.54,56.4716,0,1,0,615.54
128.15,54.4,4.5,2.0,6,4,1,1,0,0,1.0,0.0,0.5,0.866025,0,0,0,1,1,0,0,0,1,0,0,256.3,2.3557,0,0,1,64.075
287.22,3.0,5.0,1.0,12,4,1,1,0,0,0.0,-1.0,0.5,0.866025,0,0,1,0,0,0,0,0,0,0,0,287.22,95.74,0,0,0,287.22
559.97,11.9,3.6,1.0,18,4,1,1,0,0,-1.0,-0.0,0.5,0.866025,1,0,0,0,0,0,0,0,1,0,0,559.97,47.0563,1,0,0,559.97
881.31,9.3,3.6,2.0,0,5,1,1,1,0,0.0,1.0,0.5,0.866025,1,0,0,0,0,0,0,0,0,0,0,1762.62,94.7645,0,1,1,440.655
760.57,15.2,4.2,1.0,6,5,1,1,1,0,1.0,0.0,0.5,0.866025,0,0,0,0,0,0,0,0,0,0,0,760.57,50.0375,0,0,0,760.57
511.73,13.5,4.3,1.0,12,5,1,1,1,0,0.0,-1.0,0.5,0.866025,0,0,0,0,0,0,0,0,0,0,0,511.73,37.9059,0,0,0,511.73
800.29,16.1,4.3,1.5,18,5,1,1,1,0,-1.0,-0.0,0.5,0.866025,0,1,0,0,0,1,0,0,0,0,0,1200.44,49.7075,1,0,0,533.5266666666666
509.74,3.3,5.0,1.5,0,6,1,1,1,0,0.0,1.0,0.5,0.866025,0,0,1,0,0,0,0,1,0,0,0,764.61,154.4667,0,1,0,339.82666666666665
171.11,15.8,4.1,1.0,6,6,1,1,1,0,1.0,0.0,0.5,0.866025,0,0,1,0,1,0,0,0,0,0,0,171.11,10.8297,0,0,0,171.11
610.33,6.1,4.0,1.0,12,6,1,1,1,0,0.0,-1.0,0.5,0.866025,0,0,0,0,0,0,0,0,0,0,1,610.33,100.0541,0,0,0,610.33
773.53,4.5,4.4,1.5,18,6,1,1,1,0,-1.0,-0.0,0.5,0.866025,0,0,1,0,0,1,0,0,0,0,1,1160.3,171.8956,1,0,0,515.6866666666666
1016.44,1.5,4.8,1.2,0,0,1,1,0,0,0.0,1.0,0.5,0.866025,0,0,1,0,1,0,0,0,1,0,0,1219.73,677.6267,0,1,0,847.0333333333334
319.73,31.6,3.9,1.0,6,0,1,1,0,0,1.0,0.0,0.5,0.866025,1,0,0,0,0,1,0,0,0,0,0,319.73,10.118,0,0,0,319.73
224.18,12.3,4.2,1.0,12,0,1,1,0,0,0.0,-1.0,0.5,0.866025,0,0,0,0,0,1,0,0,0,0,0,224.18,18.226,0,0,0,224.18
665.66,21.7,4.8,1.0,18,0,1,1,0,0,-1.0,-0.0,0.5,0.866025,0,0,0,1,0,0,0,0,1,0,0,665.66,30.6756,1,0,0,665.66
543.12,28.6,4.8,1.5,0,1,1,1,0,0,0.0,1.0,0.5,0.866025,0,0,0,0,0,0,0,0,0,0,0,814.68,18.9902,0,1,0,362.08
518.52,25.0,4.4,1.5,6,1,1,1,0,0,1.0,0.0,0.5,0.866025,0,0,0,1,0,1,0,0,0,0,0,777.78,20.7408,0,0,0,345.68
805.84,14.0,5.0,2.0,12,1,1,1,0,0,0.0,-1.0,0.5,0.866025,1,0,0,0,0,0,1,0,1,0,0,1611.68,57.56,0,0,1,402.92
664.37,10.8,5.0,1.5,18,1,1,1,0,0,-1.0,-0.0,0.5,0.866025,0,1,0,0,0,1,0,1,0,0,0,996.56,61.5157,1,0,0,442.91333333333336
569.01,10.4,3.6,1.0,0,2,1,1,0,0,0.0,1.0,0.5,0.866025,0,0,1,0,0,1,0,0,1,0,0,569.01,54.7125,0,1,0,569.01
342.31,22.5,3.5,1.0,6,2,1,1,0,0,1.0,0.0,0.5,0.866025,1,0,0,0,1,0,0,0,0,0,0,342.31,15.2138,0,0,0,342.31
637.75,15.0,4.7,1.2,12,2,1,1,0,0,0.0,-1.0,0.5,0.866025,0,0,1,0,0,1,0,0,1,0,0,765.3,42.5167,0,0,0,531.4583333333334
218.64,41.6,5.0,1.2,18,2,1,1,0,0,-1.0,-0.0,0.5,0.866025,0,1,0,0,0,0,0,0,0,0,0,262.37,5.2558,1,0,0,182.2
508.99,45.7,4.2,1.0,0,3,1,1,0,0,0.0,1.0,0.5,0.866025,0,1,0,0,0,1,0,0,0,0,0,508.99,11.1376,0,1,0,508.99
432.25,4.1,4.0,1.0,6,3,1,1,0,0,1.0,0.0,0.5,0.866025,1,0,0,0,0,0,1,1,0,0,0,432.25,105.4268,0,0,0,432.25
165.87,3.2,3.9,2.0,12,3,1,1,0,0,0.0,-1.0,0.5,0.866025,0,1,0,0,0,0,0,0,0,0,0,331.74,51.8344,0,0,1,82.935
543.92,21.9,3.7,1.0,18,3,1,1,0,0,-1.0,-0.0,0.5,0.866025,0,0,0,1,0,1,0,0,0,0,0,543.92,24.8365,1,0,0,543.92
320.12,7.9,4.9,1.0,0,4,1,1,0,0,0.0,1.0,0.5,0.866025,0,1,0,0,0,0,0,0,0,0,0,320.12,40.5215,0,1,0,320.12
537.26,0.4,4.1,1.2,6,4,1,1,0,0,1.0,0.0,0.5,0.866025,0,0,1,0,0,1,0,1,0,0,0,644.71,1343.15,0,0,0,447.7166666666667
254.61,48.3,4.5,1.2,12,4,1,1,0,0,0.0,-1.0,0.5,0.866025,0,0,1,0,0,0,0,0,1,0,0,305.53,5.2714,0,0,0,212.175
667.67,5.7,3.4,1.0,18,4,1,1,0,0,-1.0,-0.0,0.5,0.866025,0,0,1,0,0,1,0,0,1,0,0,667.67,117.1351,1,0,0,667.67
948.93,58.3,4.8,1.5,0,5,1,1,1,0,0.0,1.0,0.5,0.866025,0,0,1,0,1,0,0,0,1,0,0,1423.4,16.2767,0,1,0,632.62
218.69,27.8,4.6,1.0,6,5,1,1,1,0,1.0,0.0,0.5,0.866025,0,0,0,1,0,0,0,0,0,0,0,218.69,7.8665,0,0,0,218.69
254.41,31.6,3.6,1.0,12,5,1,1,1,0,0.0,-1.0,0.5,0.866025,0,0,0,0,0,1,0,0,0,0,0,254.41,8.0509,0,0,0,254.41
196.65,4.9,4.4,1.0,18,5,1,1,1,0,-1.0,-0.0,0.5,0.866025,1,0,0,0,1,0,0,0,0,0,0,196.65,40.1327,1,0,0,196.65
392.62,5.9,4.3,1.2,0,6,1,1,1,0,0.0,1.0,0.5,0.866025,0,0,1,0,0,0,1,0,0,0,0,471.14,66.5458,0,1,0,327.18333333333334
533.07,16.2,4.1,2.0,6,6,1,1,1,0,1.0,0.0,0.5,0.866025,0,1,0,0,0,0,0,0,0,0,0,1066.14,32.9056,0,0,1,266.535
618.49,4.2,2.8,1.5,12,6,1,1,1,0,0.0,-1.0,0.5,0.866025,0,0,1,0,0,0,0,0,0,0,1,927.74,147.2595,0,0,0,412.32666666666665
503.9,8.0,4.0,2.0,18,6,1,1,1,0,-1.0,-0.0,0.5,0.866025,0,1,0,0,0,0,0,0,0,0,0,1007.8,62.9875,1,0,1,251.95
609.11,8.5,4.5,1.0,0,0,1,1,0,0,0.0,1.0,0.5,0.866025,0,1,0,0,0,0,1,0,0,0,0,609.11,71.66,0,1,0,609.11
424.22,3.8,4.0,1.0,6,0,1,1,0,0,1.0,0.0,0.5,0.866025,0,0,1,0,0,0,1,0,0,1,0,424.22,111.6368,0,0,0,424.22
318.04,5.1,4.2,1.0,12,0,1,1,0,0,0.0,-1.0,0.5,0.866025,0,0,0,1,0,1,0,0,0,0,0,318.04,62.3608,0,0,0,318.04
258.13,34.2,5.0,1.0,18,0,1,1,0,0,-1.0,-0.0,0.5,0.866025,0,1,0,0,1,0,0,0,0,0,1,258.13,7.5477,1,0,0,258.13
400.37,4.0,4.3,1.5,0,1,1,1,0,0,0.0,1.0,0.5,0.866025,0,1,0,0,0,1,0,0,0,0,0,600.56,100.0925,0,1,0,266.91333333333336
261.82,0.6,3.3,1.2,6,1,1,1,0,0,1.0,0.0,0.5,0.866025,0,0,1,0,0,1,0,0,0,0,0,314.18,436.3667,0,0,0,218.18333333333334
524.99,21.8,4.2,2.0,12,1,1,1,0,0,0.0,-1.0,0.5,0.866025,0,1,0,0,0,0,0,0,1,0,0,1049.98,24.0821,0,0,1,262.495
264.26,82.0,4.3,1.0,18,1,1,1,0,0,-1.0,-0.0,0.5,0.866025,0,1,0,0,1,0,0,0,0,0,0,264.26,3.2227,1,0,0,264.26
337.18,8.9,3.9,1.0,0,2,1,1,0,0,0.0,1.0,0.5,0.866025,0,0,1,0,0,0,0,0,0,0,0,337.18,37.8854,0,1,0,337.18
735.91,2.8,4.7,1.0,6,2,1,1,0,0,1.0,0.0,0.5,0.866025,0,0,1,0,1,0,0,0,0,0,0,735.91,262.825,0,0,0,735.91
770.7,18.6,3.6,1.0,12,2,1,1,0,0,0.0,-1.0,0.5,0.866025,1,0,0,0,1,0,0,0,1,0,0,770.7,41.4355,0,0,0,770.7
758.79,52.1,4.2,1.0,18,2,1,1,0,0,-1.0,-0.0,0.5,0.866025,0,0,0,1,1,0,0,0,0,0,1,758.79,14.5641,1,0,0,758.79
427.91,33.7,3.6,1.0,0,3,1,1,0,0,0.0,1.0,0.5,0.866025,0,0,0,1,0,0,0,0,1,0,0,427.91,12.6976,0,1,0,427.91
325.15,21.4,4.2,1.0,6,3,1,1,0,0,1.0,0.0,0.5,0.866025,0,1,0,0,0,0,0,0,0,0,0,325.15,15.1939,0,0,0,325.15
565.41,8.3,4.7,1.0,12,3,1,1,0,0,0.0,-1.0,0.5,0.866025,0,0,0,1,0,0,0,1,0,0,0,565.41,68.1217,0,0,0,565.41
267.44,17.2,4.2,1.0,18,3,1,1,0,0,-1.0,-0.0,0.5,0.866025,0,1,0,0,0,0,0,0,0,0,0,267.44,15.5488,1,0,0,267.44
633.6,2.1,4.2,1.0,0,4,1,1,0,0,0.0,1.0,0.5,0.866025,1,0,0,0,0,0,0,0,0,0,0,633.6,301.7143,0,1,0,633.6
309.15,25.0,4.3,1.0,6,4,1,1,0,0,1.0,0.0,0.5,0.866025,0,0,1,0,0,0,1,0,0,0,0,309.15,12.366,0,0,0,309.15
391.6,28.4,4.3,1.0,12,4,1,1,0,0,0.0,-1.0,0.5,0.866025,0,0,1,0,0,1,0,0,0,0,0,391.6,13.7887,0,0,0,391.6
640.6,73.8,4.6,1.0,18,4,1,1,0,0,-1.0,-0.0,0.5,0.866025,0,0,1,0,0,0,0,0,0,0,0,640.6,8.6802,1,0,0,640.6
140.18,6.6,4.6,1.0,0,5,1,1,1,0,0.0,1.0,0.5,0.866025,0,0,0,1,0,0,0,0,1,0,0,140.18,21.2394,0,1,0,140.18
316.46,0.4,5.0,1.0,6,5,1,1,1,0,1.0,0.0,0.5,0.866025,1,0,0,0,0,1,0,0,0,0,1,316.46,791.15,0,0,0,316.46
530.67,17.4,4.4,1.0,12,5,1,1,1,0,0.0,-1.0,0.5,0.866025,0,0,0,1,0,1,0,0,0,0,0,530.67,30.4983,0,0,0,530.67
588.39,27.0,3.5,1.0,18,5,1,1,1,0,-1.0,-0.0,0.5,0.866025,0,0,0,1,0,1,0,0,0,0,0,588.39,21.7922,1,0,0,588.39
541.24,34.4,4.7,1.2,0,6,1,1,1,0,0.0,1.0,0.5,0.866025,1,0,0,0,0,0,1,0,0,0,0,649.49,15.7337,0,1,0,451.03333333333336
389.01,4.7,5.0,1.2,6,6,1,1,1,0,1.0,0.0,0.5,0.866025,1,0,0,0,0,1,0,0,0,0,0,466.81,82.7681,0,0,0,324.175
672.58,6.7,5.0,1.5,12,6,1,1,1,0,0.0,-1.0,0.5,0.866025,1,0,0,0,0,0,1,0,1,0,0,1008.87,100.3851,0,0,0,448.3866666666667
253.24,15.8,5.0,1.0,18,6,1,1,1,0,-1.0,-0.0,0.5,0.866025,1,0,0,0,1,0,0,0,0,0,0,253.24,16.0278,1,0,0,253.24
247.02,8.8,4.1,1.0,0,0,1,1,0,0,0.0,1.0,0.5,0.866025,0,0,1,0,0,0,0,1,0,0,0,247.02,28.0705,0,1,0,247.02
528.06,43.3,4.4,1.5,6,0,1,1,0,0,1.0,0.0,0.5,0.866025,0,0,0,0,0,0,1,0,0,0,0,792.09,12.1954,0,0,0,352.03999999999996
237.06,14.1,4.2,1.0,12,0,1,1,0,0,0.0,-1.0,0.5,0.866025,0,0,0,0,0,0,0,0,0,0,0,237.06,16.8128,0,0,0,237.06
965.0,35.4,4.1,1.2,18,0,1,1,0,0,-1.0,-0.0,0.5,0.866025,1,0,0,0,1,0,0,0,0,0,0,1158.0,27.2599,1,0,0,804.1666666666667
321.47,19.1,4.2,1.0,0,1,1,1,0,0,0.0,1.0,0.5,0.866025,0,0,0,0,0,0,0,0,0,0,0,321.47,16.8309,0,1,0,321.47
666.39,32.6,4.9,1.0,6,1,1,1,0,0,1.0,0.0,0.5,0.866025,0,0,0,0,1,0,0,0,0,0,0,666.39,20.4414,0,0,0,666.39
213.68,8.9,3.5,1.2,12,1,1,1,0,0,0.0,-1.0,0.5,0.866025,1,0,0,0,1,0,0,0,1,0,0,256.42,24.009,0,0,0,178.0666666666667
865.12,39.2,3.8,1.0,18,1,1,1,0,0,-1.0,-0.0,0.5,0.866025,0,0,0,0,1,0,0,0,0,0,0,865.12,22.0694,1,0,0,865.12
443.26,7.1,4.9,1.0,0,2,1,1,0,0,0.0,1.0,0.5,0.866025,0,0,0,1,1,0,0,0,1,0,0,443.26,62.431,0,1,0,443.26
316.69,17.4,5.0,1.0,6,2,1,1,0,0,1.0,0.0,0.5,0.866025,0,1,0,0,0,0,0,0,0,0,0,316.69,18.2006,0,0,0,316.69
374.77,5.3,4.0,1.0,12,2,1,1,0,0,0.0,-1.0,0.5,0.866025,0,1,0,0,0,0,0,0,0,0,0,374.77,70.7113,0,0,0,374.77
289.3,14.2,5.0,1.0,18,2,1,1,0,0,-1.0,-0.0,0.5,0.866025,1,0,0,0,0,1,0,0,0,0,0,289.3,20.3732,1,0,0,289.3
391.03,8.4,4.8,1.0,0,3,1,1,0,0,0.0,1.0,0.5,0.866025,0,0,1,0,0,0,0,1,0,0,0,391.03,46.5512,0,1,0,391.03
221.18,6.8,4.2,1.2,6,3,1,1,0,0,1.0,0.0,0.5,0.866025,1,0,0,0,0,1,0,0,0,0,0,265.42,32.5265,0,0,0,184.3166666666667
322.26,75.0,3.1,1.2,12,3,1,1,0,0,0.0,-1.0,0.5,0.866025,0,0,1,0,0,0,0,0,1,0,0,386.71,4.2968,0,0,0,268.55
660.09,3.8,3.5,1.0,18,3,1,1,0,0,-1.0,-0.0,0.5,0.866025,0,1,0,0,0,0,1,0,0,0,0,660.09,173.7079,1,0,0,660.09
489.91,34.1,4.0,2.0,0,4,1,1,0,0,0.0,1.0,0.5,0.866025,1,0,0,0,0,1,0,0,1,0,0,979.82,14.3669,0,1,1,244.955
250.33,91.2,4.7,1.0,6,4,1,1,0,0,1.0,0.0,0.5,0.866025,0,0,0,1,1,0,0,0,0,0,0,250.33,2.7448,0,0,0,250.33
398.14,0.4,4.7,1.0,12,4,1,1,0,0,0.0,-1.0,0.5,0.866025,0,0,0,0,0,0,0,0,1,0,0,398.14,995.35,0,0,0,398.14
775.04,26.4,4.1,1.5,18,4,1,1,0,0,-1.0,-0.0,0.5,0.866025,0,0,1,0,1,0,0,0,1,0,0,1162.56,29.3576,1,0,0,516.6933333333333
342.6,6.4,4.2,1.2,0,5,1,1,1,0,0.0,1.0,0.5,0.866025,0,0,0,0,0,0,1,0,0,0,1,411.12,53.5312,0,1,0,285.50000000000006
235.59,0.9,4.3,1.2,6,5,1,1,1,0,1.0,0.0,0.5,0.866025,0,0,0,0,0,1,0,0,0,0,0,282.71,261.7667,0,0,0,196.32500000000002
577.7,11.3,4.2,1.0,12,5,1,1,1,0,0.0,-1.0,0.5,0.866025,1,0,0,0,0,1,0,0,0,0,0,577.7,51.1239,0,0,0,577.7
105.87,60.2,4.4,1.0,18,5,1,1,1,0,-1.0,-0.0,0.5,0.866025,0,0,0,0,1,0,0,0,0,0,0,105.87,1.7586,1,0,0,105.87
379.26,0.3,4.3,1.5,0,6,1,1,1,0,0.0,1.0,0.5,0.866025,0,0,0,1,0,0,0,1,0,0,0,568.89,1264.2,0,1,0,252.84
808.4,19.5,3.5,1.0,6,6,1,1,1,0,1.0,0.0,0.5,0.866025,0,0,0,0,0,1,0,0,0,0,0,808.4,41.4564,0,0,0,808.4
392.22,15.3,4.2,1.2,12,6,1,1,1,0,0.0,-1.0,0.5,0.866025,1,0,0,0,0,0,0,0,1,0,0,470.66,25.6353,0,0,0,326.85
692.48,45.5,4.3,1.0,18,6,1,1,1,0,-1.0,-0.0,0.5,0.866025,0,0,0,1,0,0,0,0,0,0,0,692.48,15.2193,1,0,0,692.48
233.73,1.9,4.8,1.5,0,0,1,1,0,0,0.0,1.0,0.5,0.866025,0,1,0,0,0,0,0,0,0,0,0,350.6,123.0158,0,1,0,155.82
384.25,25.2,3.9,1.0,6,0,1,1,0,0,1.0,0.0,0.5,0.866025,0,0,0,0,0,0,0,0,0,0,0,384.25,15.248,0,0,0,384.25
365.36,25.1,4.4,1.0,12,0,1,1,0,0,0.0,-1.0,0.5,0.866025,1,0,0,0,0,0,0,0,0,0,1,365.36,14.5562,0,0,0,365.36
562.27,24.3,4.6,1.0,18,0,1,1,0,0,-1.0,-0.0,0.5,0.866025,0,1,0,0,0,0,0,0,1,0,0,562.27,23.1387,1,0,0,562.27
455.77,62.8,4.2,1.2,0,1,1,1,0,0,0.0,1.0,0.5,0.866025,0,1,0,0,0,0,1,0,0,0,1,546.92,7.2575,0,1,0,379.80833333333334
861.46,38.1,3.4,1.2,6,1,1,1,0,0,1.0,0.0,0.5,0.866025,0,0,1,0,0,1,0,0,0,0,0,1033.75,22.6105,0,0,0,717.8833333333334
332.45,0.9,4.8,1.0,12,1,1,1,0,0,0.0,-1.0,0.5,0.866025,0,0,0,1,0,0,1,0,1,0,0,332.45,369.3889,0,0,0,332.45
452.96,14.0,4.7,1.2,18,1,1,1,0,0,-1.0,-0.0,0.5,0.866025,0,0,0,0,0,1,0,0,1,0,0,543.55,32.3543,1,0,0,377.46666666666664
372.61,11.2,4.4,1.0,0,2,2,1,0,0,0.0,1.0,0.866025,0.5,1,0,0,0,0,0,0,0,0,0,0,372.61,33.2688,0,1,0,372.61
436.19,8.2,4.3,1.0,6,2,2,1,0,0,1.0,0.0,0.866025,0.5,0,0,1,0,0,1,0,1,0,0,0,436.19,53.1939,0,0,0,436.19
416.13,13.2,3.4,1.0,12,2,2,1,0,0,0.0,-1.0,0.866025,0.5,0,0,0,1,0,1,0,0,0,0,1,416.13,31.525,0,0,0,416.13
265.98,10.7,4.7,1.0,18,2,2,1,0,0,-1.0,-0.0,0.866025,0.5,0,0,1,0,0,0,0,1,0,0,0,265.98,24.8579,1,0,0,265.98
642.24,12.5,5.0,1.0,0,3,2,1,0,0,0.0,1.0,0.866025,0.5,0,0,0,1,0,1,0,0,1,0,0,642.24,51.3792,0,1,0,642.24
303.81,85.3,3.7,1.0,6,3,2,1,0,0,1.0,0.0,0.866025,0.5,0,0,0,1,0,0,0,0,0,0,0,303.81,3.5617,0,0,0,303.81
292.15,2.0,5.0,1.2,12,3,2,1,0,0,0.0,-1.0,0.866025,0.5,0,0,0,0,0,1,0,0,0,0,0,350.58,146.075,0,0,0,243.45833333333331
171.91,56.2,4.9,1.2,18,3,2,1,0,0,-1.0,-0.0,0.866025,0.5,0,0,0,1,0,1,0,0,0,0,1,206.29,3.0589,1,0,0,143.25833333333333
327.35,14.4,3.7,1.2,0,4,2,1,0,0,0.0,1.0,0.866025,0.5,0,0,1,0,0,0,0,0,0,0,0,392.82,22.7326,0,1,0,272.7916666666667
301.65,21.5,4.1,1.0,6,4,2,1,0,0,1.0,0.0,0.866025,0.5,0,0,0,1,0,0,0,0,1,0,0,301.65,14.0302,0,0,0,301.65
52.62,39.0,3.6,2.0,12,4,2,1,0,0,0.0,-1.0,0.866025,0.5,0,0,0,0,1,0,0,0,1,0,0,105.24,1.3492,0,0,1,26.31
120.18,9.8,4.3,1.2,18,4,2,1,0,0,-1.0,-0.0,0.866025,0.5,0,0,0,0,0,1,0,0,1,0,0,144.22,12.2633,1,0,0,100.15
390.16,12.4,4.5,1.0,0,5,2,1,1,0,0.0,1.0,0.866025,0.5,0,0,1,0,0,0,0,0,0,0,1,390.16,31.4645,0,1,0,390.16
842.57,11.6,3.6,1.5,6,5,2,1,1,0,1.0,0.0,0.866025,0.5,0,1,0,0,0,0,1,0,0,0,0,1263.86,72.6353,0,0,0,561.7133333333334
191.29,10.3,4.5,1.0,12,5,2,1,1,0,0.0,-1.0,0.866025,0.5,0,1,0,0,0,0,0,0,0,0,0,191.29,18.5718,0,0,0,191.29
432.11,57.1,4.6,1.0,18,5,2,1,1,0,-1.0,-0.0,0.866025,0.5,0,0,0,1,0,1,0,0,0,0,0,432.11,7.5676,1,0,0,432.11
385.31,38.8,4.6,1.0,0,6,2,1,1,1,0.0,1.0,0.866025,0.5,1,0,0,0,0,0,1,0,0,0,0,385.31,9.9307,0,1,0,385.31
600.26,2.5,4.5,1.0,6,6,2,1,1,1,1.0,0.0,0.866025,0.5,0,0,0,1,0,0,0,0,0,0,0,600.26,240.104,0,0,0,600.26
622.24,2.5,3.7,1.5,12,6,2,1,1,1,0.0,-1.0,0.866025,0.5,0,0,1,0,0,0,0,0,0,0,0,933.36,248.896,0,0,0,414.82666666666665
1144.14,12.3,4.2,1.0,18,6,2,1,1,1,-1.0,-0.0,0.866025,0.5,0,0,1,0,0,0,0,1,0,0,0,1144.14,93.0195,1,0,0,1144.14
499.0,2.3,4.5,1.0,0,0,2,1,0,0,0.0,1.0,0.866025,0.5,0,0,1,0,0,0,0,0,0,0,1,499.0,216.9565,0,1,0,499.0
280.2,21.2,5.0,2.0,6,0,2,1,0,0,1.0,0.0,0.866025,0.5,0,0,1,0,0,0,0,0,0,0,0,560.4,13.217,0,0,1,140.1
322.42,3.4,4.3,2.0,12,0,2,1,0,0,0.0,-1.0,0.866025,0.5,0,0,1,0,0,1,0,0,0,0,0,644.84,94.8294,0,0,1,161.21
340.34,16.3,4.5,1.2,18,0,2,1,0,0,-1.0,-0.0,0.866025,0.5,0,0,0,0,0,0,0,0,0,0,1,408.41,20.8798,1,0,0,283.6166666666667
308.41,0.2,3.8,1.0,0,1,2,1,0,0,0.0,1.0,0.866025,0.5,0,1,0,0,0,1,0,0,0,0,0,308.41,1542.05,0,1,0,308.41
944.32,8.4,3.7,1.0,6,1,2,1,0,0,1.0,0.0,0.866025,0.5,0,0,1,0,0,0,1,0,0,1,0,944.32,112.419,0,0,0,944.32
607.55,24.9,3.7,1.2,12,1,2,1,0,0,0.0,-1.0,0.866025,0.5,1,0,0,0,1,0,0,0,0,0,0,729.06,24.3996,0,0,0,506.29166666666663
161.52,14.6,4.1,1.0,18,1,2,1,0,0,-1.0,-0.0,0.866025,0.5,1,0,0,0,0,1,0,0,1,0,0,161.52,11.063,1,0,0,161.52
559.84,84.2,5.0,1.0,0,2,2,1,0,0,0.0,1.0,0.866025,0.5,1,0,0,0,0,0,0,0,0,0,0,559.84,6.6489,0,1,0,559.84
239.36,45.6,4.1,1.0,6,2,2,1,0,0,1.0,0.0,0.866025,0.5,1,0,0,0,0,1,0,0,0,1,0,239.36,5.2491,0,0,0,239.36
