Age,Annual_Income,Loan_Amount,Loan_Term_Months,Credit_Score,Employment_Years,Num_Credit_Lines,Debt_To_Income_Ratio,Num_Late_Payments,Has_Mortgage,Education,Loan_Purpose,Marital_Status,Loan_Default
24,22462,72300,48,653,14,8,0.09,3,1,Bachelor,Personal,Married,0
22,29460,76545,60,716,25,12,0.31,3,1,Master,Business,Married,0
26,119319,25842,24,814,6,5,0.13,9,0,Bachelor,Personal,Married,0
47,145602,65213,60,514,2,9,0.08,6,0,Bachelor,Medical,Divorced,0
35,29275,47372,36,411,24,8,0.63,2,1,Bachelor,Business,Single,0
60,114213,73906,60,727,9,1,0.49,2,1,High School,Education,Married,0
48,33269,43744,48,515,2,9,0.48,4,0,Bachelor,Personal,Married,0
30,149593,62442,36,712,29,13,0.1,5,1,Bachelor,Home,Single,0
36,142672,90990,24,679,13,14,0.61,7,0,High School,Business,Married,0
36,85942,8650,24,531,21,14,0.33,0,0,High School,Education,Married,0
47,92920,50117,48,557,2,5,0.56,6,0,Bachelor,Home,Married,0
63,140737,96244,12,555,0,9,0.06,7,1,Bachelor,Business,Divorced,1
34,42553,57772,12,702,0,9,0.23,4,1,Bachelor,Business,Married,0
53,44366,8190,24,723,18,10,0.65,9,1,Bachelor,Personal,Married,1
60,64036,53113,48,364,3,10,0.31,1,0,Bachelor,Business,Married,0
53,37369,13789,12,489,29,3,0.58,3,0,Master,Medical,Married,0
25,31795,37125,60,472,1,8,0.25,5,0,Bachelor,Personal,Married,0
51,90021,22459,24,526,24,7,0.37,8,1,Bachelor,Home,Married,0
58,127205,40418,60,687,10,7,0.56,1,0,High School,Education,Married,0
44,88154,52085,48,700,23,12,0.41,3,0,High School,Business,Married,0
60,50143,23768,60,512,11,10,0.49,9,0,Master,Business,Single,0
36,49425,54961,12,352,12,2,0.19,4,1,High School,Personal,Married,1
64,108209,86099,12,438,15,2,0.14,7,1,High School,Personal,Single,0
50,95139,32885,36,717,15,2,0.19,7,1,Bachelor,Personal,Married,0
57,125232,92421,24,442,18,13,0.35,1,1,High School,Business,Single,0
34,25368,66082,48,808,22,11,0.53,5,1,Bachelor,Home,Married,0
53,24621,11895,24,785,19,2,0.26,5,1,High School,Business,Divorced,0
28,78829,55311,60,736,20,14,0.39,4,1,Bachelor,Business,Married,1
43,149036,94494,48,842,19,4,0.53,7,0,Master,Personal,Married,0
49,80294,72067,48,592,8,7,0.19,9,0,Bachelor,Education,Married,0
23,34719,76017,12,583,15,2,0.58,1,0,Bachelor,Education,Married,0
63,49227,28932,60,313,26,5,0.62,1,0,Bachelor,Business,Single,1
27,129430,26360,12,571,6,14,0.07,6,1,Master,Home,Single,0
49,27566,59847,12,324,12,7,0.09,8,1,Bachelor,Medical,Married,0
49,32306,95365,36,621,3,9,0.1,2,0,High School,Education,Divorced,0
41,73822,90468,12,402,12,8,0.52,6,0,High School,Home,Married,0
51,44042,43931,24,339,7,9,0.16,2,1,High School,Education,Married,0
32,35086,60823,48,534,1,7,0.49,5,1,High School,Medical,Divorced,1
49,37387,43032,12,388,6,3,0.31,2,1,High School,Business,Married,0
46,47042,86426,24,399,10,1,0.55,0,0,High School,Personal,Single,0
60,109424,23807,60,443,16,10,0.54,5,1,Master,Home,Single,1
54,71618,16767,48,381,23,7,0.63,2,0,Bachelor,Personal,Single,1
22,112050,13071,60,528,28,13,0.2,0,1,High School,Personal,Married,0
48,38323,58413,24,694,13,11,0.19,4,1,Bachelor,Personal,Single,1
34,38019,31149,60,812,27,6,0.07,7,0,Bachelor,Business,Married,0
62,95426,20540,60,496,29,2,0.3,7,1,Bachelor,Personal,Divorced,0
24,60863,75248,60,573,12,1,0.33,7,0,Bachelor,Education,Single,0
60,140953,96737,12,671,14,12,0.63,2,1,High School,Home,Single,0
27,131023,90435,12,379,21,10,0.55,7,1,Bachelor,Personal,Married,0
29,30283,24787,12,534,27,4,0.15,3,0,Bachelor,Medical,Single,0
48,38279,25982,48,586,20,14,0.53,7,1,Bachelor,Personal,Married,0
30,66999,27606,24,844,24,4,0.16,2,1,Bachelor,Personal,Married,0
58,82780,15150,12,736,8,6,0.1,2,1,Bachelor,Education,Married,0
54,42908,90929,60,426,2,11,0.55,0,1,Bachelor,Medical,Divorced,0
63,81584,51936,60,716,24,5,0.64,7,1,Bachelor,Personal,Single,0
45,146278,98286,60,340,12,9,0.1,7,1,High School,Business,Single,0
36,133002,13593,60,768,12,8,0.54,8,1,Bachelor,Personal,Divorced,0
53,70225,22358,36,596,8,9,0.57,5,1,Master,Home,Single,0
53,57952,87143,48,341,17,10,0.12,1,1,Master,Personal,Single,1
45,120706,42381,24,578,4,7,0.22,0,0,PhD,Business,Divorced,0
62,57663,95347,24,758,10,9,0.49,7,1,High School,Medical,Single,0
33,142019,33074,12,332,1,3,0.53,9,1,High School,Education,Single,0
60,129708,25595,36,575,16,9,0.26,3,1,Bachelor,Home,Married,0
23,81381,49194,24,389,22,2,0.15,6,0,High School,Home,Single,0
24,67929,54377,48,823,19,9,0.44,9,0,High School,Business,Married,0
58,29343,31853,60,459,20,13,0.47,3,0,Bachelor,Education,Married,0
38,96173,78719,12,757,3,6,0.35,0,0,High School,Personal,Married,0
23,120260,25661,48,698,21,4,0.14,7,0,High School,Home,Single,0
23,59791,55493,24,390,26,12,0.56,9,0,PhD,Personal,Divorced,0
49,49134,41495,36,765,17,14,0.44,8,1,High School,Medical,Single,0
44,132366,18703,12,519,23,12,0.57,9,0,High School,Business,Married,1
58,67101,58080,24,718,19,13,0.61,8,1,High School,Business,Divorced,0
53,89443,35815,12,678,7,11,0.53,8,1,Master,Personal,Married,1
54,119111,34565,24,746,18,2,0.63,3,1,Bachelor,Education,Single,0
22,77530,68321,60,445,11,13,0.62,8,0,High School,Personal,Single,0
40,66799,63453,36,532,27,10,0.42,3,1,High School,Personal,Divorced,0
23,24827,93478,60,670,10,3,0.49,1,1,Bachelor,Personal,Married,0
47,116143,38161,24,533,15,5,0.47,9,0,High School,Personal,Divorced,1
53,82653,60991,48,666,4,9,0.42,2,0,PhD,Business,Married,0
27,33699,14716,60,780,27,7,0.06,1,1,Bachelor,Business,Single,0
53,122828,38349,48,662,2,11,0.26,0,0,High School,Personal,Single,0
25,133497,52098,24,810,11,12,0.11,5,0,Master,Business,Divorced,0
32,111419,5132,36,394,14,13,0.23,3,1,High School,Medical,Married,0
38,134527,56990,48,515,15,11,0.09,6,1,High School,Education,Single,0
59,136972,73921,24,842,12,3,0.6,6,1,High School,Home,Married,0
45,25313,41538,48,434,6,13,0.32,9,1,Master,Personal,Single,0
26,33598,12213,60,382,14,4,0.16,0,1,High School,Medical,Single,1
55,131362,49223,24,690,2,14,0.4,8,1,Bachelor,Business,Married,1
27,135445,96655,60,346,11,12,0.17,7,1,High School,Business,Single,1
43,48807,73371,12,691,7,11,0.53,9,1,Master,Business,Single,1
32,90423,73274,24,684,24,2,0.23,0,0,High School,Business,Married,0
37,89390,9134,48,680,28,14,0.24,7,0,High School,Business,Married,0
54,65226,96428,12,376,11,8,0.57,4,0,Bachelor,Education,Single,0
30,79550,44601,60,558,17,6,0.39,0,0,Bachelor,Personal,Single,0
27,100072,78889,60,698,2,3,0.58,3,0,Master,Education,Divorced,0
37,23558,20690,48,399,11,13,0.3,6,1,High School,Education,Single,0
50,95308,6909,12,800,28,5,0.26,4,0,Master,Business,Single,0
24,70113,96239,36,682,22,5,0.35,2,0,Bachelor,Personal,Single,0
41,72999,85032,48,491,20,12,0.09,3,1,High School,Personal,Single,0
57,75878,17062,60,644,25,1,0.14,1,0,Master,Personal,Married,0
40,56343,80386,24,309,22,13,0.18,7,1,Bachelor,Personal,Divorced,0
47,78219,98237,12,563,1,5,0.54,1,0,Bachelor,Personal,Married,0
24,55186,39731,36,567,13,6,0.49,5,0,PhD,Personal,Married,0
40,56966,10153,24,494,13,10,0.17,6,1,Bachelor,Personal,Divorced,0
41,53769,15481,12,706,3,10,0.22,6,0,High School,Business,Single,0
53,139932,71425,48,595,16,11,0.62,0,0,Master,Home,Married,0
28,146264,68600,48,396,14,11,0.1,7,0,High School,Home,Married,0
62,125423,89981,12,761,15,11,0.38,8,1,Bachelor,Personal,Single,0
54,73218,76997,36,386,4,13,0.36,6,1,High School,Personal,Married,0
61,39229,33205,12,376,23,2,0.49,7,1,High School,Business,Married,0
60,95209,93887,24,782,16,3,0.21,3,1,Bachelor,Personal,Married,0
39,47877,86542,24,445,22,10,0.61,7,1,Bachelor,Business,Single,0
61,78001,49149,48,410,6,5,0.3,2,0,Bachelor,Business,Single,1
22,117137,54112,12,596,22,14,0.22,0,0,Master,Business,Single,0
32,58084,15940,48,725,14,13,0.25,7,1,High School,Medical,Single,0
49,101780,64010,36,633,16,3,0.26,5,1,Bachelor,Medical,Married,0
46,112892,81794,24,822,11,5,0.17,8,0,Master,Home,Single,0
44,36806,29485,60,837,10,5,0.61,2,1,Bachelor,Personal,Married,1
52,108635,94299,60,461,18,8,0.15,7,0,Bachelor,Medical,Single,0
51,130177,6067,12,729,10,10,0.58,8,1,Bachelor,Business,Married,0
63,57034,25607,12,368,1,9,0.29,8,1,Bachelor,Education,Divorced,1
56,60317,66597,60,432,14,8,0.21,6,0,Bachelor,Medical,Married,0
28,75468,79554,12,488,4,12,0.17,9,0,High School,Home,Married,0
37,39094,53521,24,578,17,3,0.35,2,1,Bachelor,Education,Single,0
47,77796,20187,36,729,28,1,0.45,2,1,High School,Business,Single,0
23,30589,8985,36,841,29,14,0.59,1,0,PhD,Business,Married,0
22,77221,48052,48,460,20,3,0.44,0,0,Master,Education,Divorced,0
33,144855,24563,24,752,20,1,0.34,1,1,High School,Medical,Married,0
26,21657,52322,12,469,15,13,0.07,4,0,High School,Education,Married,1
58,118300,66245,12,356,3,11,0.6,0,1,Bachelor,Business,Married,0
53,137229,56514,48,539,26,9,0.59,9,1,Bachelor,Business,Married,0
30,59531,23608,48,657,22,12,0.28,3,1,PhD,Personal,Married,0
62,72227,72262,12,500,9,13,0.07,9,1,High School,Home,Single,0
56,23164,97118,12,743,21,3,0.49,9,1,High School,Personal,Single,1
40,113078,76327,24,601,1,14,0.53,0,1,Master,Education,Married,0
37,103973,62225,48,405,14,8,0.38,9,1,High School,Medical,Married,0
24,61247,78994,24,400,3,6,0.29,7,0,Bachelor,Business,Married,1
41,124041,22221,12,396,28,3,0.56,4,0,High School,Medical,Married,0
45,39601,53506,60,328,15,9,0.17,9,1,Master,Medical,Single,0
54,113966,25968,60,805,29,8,0.31,3,0,High School,Personal,Married,0
45,70599,87606,12,737,26,3,0.06,2,1,Bachelor,Business,Single,0
32,91545,32937,48,678,6,7,0.15,8,1,Bachelor,Education,Married,0
29,135295,67435,60,372,24,5,0.61,5,0,PhD,Business,Married,0
57,24552,54508,48,553,24,2,0.4,0,0,High School,Business,Married,0
59,136452,46831,60,815,11,14,0.53,7,1,High School,Education,Single,0
61,29417,47933,48,849,2,8,0.34,9,0,High School,Personal,Married,0
41,78579,52307,60,319,16,1,0.55,1,1,Master,Business,Single,1
56,127525,53340,48,834,8,4,0.37,8,0,Bachelor,Personal,Single,0
46,88207,91338,24,720,7,11,0.05,6,1,Bachelor,Personal,Married,1
56,92055,48601,48,745,22,13,0.59,2,1,High School,Business,Married,1
46,122266,80956,24,435,5,11,0.14,3,1,Bachelor,Education,Single,1
50,98270,77178,24,804,29,12,0.32,2,0,Bachelor,Personal,Divorced,0
39,131426,90311,12,600,14,13,0.34,5,1,High School,Medical,Married,0
39,137865,33754,24,332,9,4,0.08,8,1,Master,Business,Married,1
23,23722,48310,36,577,22,13,0.08,9,0,High School,Home,Married,1
56,90442,74893,24,432,26,10,0.51,8,0,Bachelor,Business,Married,1
37,115632,91799,48,826,24,14,0.23,0,1,Master,Personal,Married,0
62,60031,53367,24,425,5,5,0.3,9,0,Master,Medical,Married,1
57,99235,18201,48,644,14,4,0.39,5,1,Bachelor,Education,Married,0
54,41438,7739,48,316,29,1,0.27,0,1,High School,Business,Married,0
25,78819,18231,36,677,13,14,0.52,3,1,Bachelor,Business,Married,0
54,63856,47495,24,359,25,7,0.58,6,0,High School,Personal,Single,0
35,53576,26168,24,766,18,10,0.09,3,0,High School,Business,Single,0
42,61938,37624,60,690,12,11,0.43,8,0,Bachelor,Personal,Married,0
41,69028,15635,60,486,13,2,0.24,9,1,Master,Business,Divorced,0
29,79807,14964,12,797,2,10,0.4,4,1,High School,Medical,Married,0
28,69877,32785,48,660,3,3,0.34,8,1,High School,Medical,Married,0
24,117783,87797,36,748,25,5,0.25,0,0,Bachelor,Personal,Single,0
38,63461,89790,60,480,28,8,0.11,3,0,High School,Medical,Married,0
54,113474,81928,24,429,13,10,0.39,6,1,Bachelor,Business,Married,0
33,60469,17336,12,448,13,8,0.12,1,0,High School,Personal,Married,1
43,103136,82475,36,771,25,14,0.14,8,0,High School,Medical,Single,0
43,40435,32412,24,799,7,2,0.64,2,0,Bachelor,Business,Married,0
51,104117,87212,24,654,9,9,0.24,3,0,Master,Personal,Divorced,0
59,34191,80379,48,510,8,6,0.4,3,1,Bachelor,Personal,Divorced,0
59,104726,50591,48,329,13,9,0.21,7,1,Master,Business,Divorced,0
29,143658,66750,60,323,7,14,0.57,1,1,High School,Personal,Single,0
48,135660,95648,60,521,10,4,0.22,4,0,Master,Medical,Divorced,0
48,47386,40454,24,700,9,3,0.27,1,0,Bachelor,Business,Married,0
55,51721,67672,24,811,17,14,0.42,5,0,Master,Business,Divorced,0
42,74786,32228,60,387,3,14,0.57,8,1,Bachelor,Personal,Divorced,0
51,33704,19429,60,764,3,5,0.54,8,0,High School,Medical,Divorced,1
54,76635,89294,24,349,11,5,0.21,0,1,High School,Business,Single,0
49,22123,72808,36,402,17,4,0.55,3,1,Bachelor,Business,Single,0
54,110710,87886,24,667,28,13,0.47,3,1,High School,Medical,Married,0
26,129837,58015,36,791,7,7,0.64,0,0,PhD,Personal,Married,0
40,134912,93074,36,567,2,8,0.61,9,1,High School,Business,Single,0
25,82993,73936,24,696,17,5,0.37,1,1,High School,Education,Married,0
56,132752,85907,12,619,6,9,0.5,5,0,High School,Business,Single,0
38,100122,62378,60,819,0,7,0.39,9,1,High School,Personal,Single,1
49,117512,42310,48,748,21,13,0.41,2,0,Bachelor,Personal,Single,0
51,45416,88683,24,775,12,13,0.11,8,1,Bachelor,Business,Single,1
50,21814,73827,36,539,28,7,0.05,2,0,Master,Home,Married,0
27,98537,40256,24,557,2,8,0.08,2,1,High School,Business,Divorced,0
56,70258,81428,60,689,28,12,0.63,8,1,Master,Personal,Married,0
62,36508,43889,36,642,2,4,0.13,2,1,High School,Medical,Married,0
58,105166,56428,48,686,14,10,0.08,5,0,Master,Business,Single,0
45,98916,42207,48,693,20,13,0.24,5,0,High School,Business,Married,0
50,133710,55255,48,569,29,13,0.4,0,0,Bachelor,Business,Married,0
52,55699,96531,12,448,18,6,0.62,6,1,Bachelor,Education,Married,1
56,66335,10409,36,679,27,5,0.47,8,0,Bachelor,Education,Single,0
54,66806,47438,36,327,3,1,0.22,8,0,High School,Personal,Married,0
42,97853,12869,12,448,12,14,0.61,8,0,Bachelor,Medical,Divorced,0
53,83768,61862,36,719,12,13,0.07,1,0,High School,Personal,Single,0
44,55739,92937,12,579,14,9,0.64,0,1,Bachelor,Personal,Single,0
54,54785,30958,24,481,18,2,0.09,5,1,Bachelor,Personal,Single,0
24,51980,81302,60,465,15,6,0.5,5,1,Bachelor,Medical,Single,0
39,109335,24768,48,316,6,8,0.08,3,1,PhD,Education,Divorced,0
46,120719,31145,12,449,2,3,0.61,7,1,High School,Medical,Divorced,0
63,114702,80622,12,638,29,5,0.12,4,1,High School,Education,Married,0
52,105016,31442,12,344,25,14,0.08,6,0,High School,Personal,Married,1
24,21609,86948,24,801,19,7,0.58,8,1,Bachelor,Business,Married,0
61,86253,30596,12,488,1,4,0.11,0,0,PhD,Business,Single,0
45,105481,80791,60,360,17,14,0.53,8,1,PhD,Business,Married,1
53,111128,47406,60,593,24,12,0.5,3,0,PhD,Personal,Married,0
43,48141,45524,48,332,10,5,0.41,6,1,Master,Medical,Married,0
44,50009,28332,24,598,0,1,0.28,3,1,PhD,Education,Single,0
23,147581,20764,60,714,15,4,0.6,3,1,Bachelor,Business,Married,0
48,130966,32563,36,848,16,14,0.57,3,1,PhD,Medical,Single,0
63,26782,92675,36,730,15,14,0.31,5,0,Master,Education,Married,1
23,112072,41370,36,794,9,7,0.19,4,0,High School,Personal,Married,0
47,119352,10062,12,399,16,12,0.21,1,1,High School,Business,Single,0
38,45933,49645,12,322,29,10,0.18,8,1,High School,Personal,Married,0
61,97154,12244,36,719,2,7,0.37,5,0,Master,Personal,Married,0
54,28307,11372,48,723,17,10,0.57,9,1,Bachelor,Personal,Single,1
30,112207,90501,48,786,18,10,0.51,5,1,High School,Home,Divorced,1
64,126209,69471,12,388,13,4,0.53,8,0,Bachelor,Business,Single,0
60,128297,21956,36,508,20,12,0.32,0,0,High School,Medical,Single,1
50,95874,45473,48,570,24,6,0.24,6,0,Master,Personal,Single,1
63,58346,18894,12,705,1,13,0.5,2,0,Master,Personal,Single,0
47,132138,74586,36,577,11,5,0.53,3,1,PhD,Medical,Married,0
56,70772,21709,24,505,10,1,0.47,0,1,High School,Business,Married,1
46,92084,86258,36,627,29,8,0.07,2,1,Master,Medical,Married,0
45,60149,20210,36,635,16,12,0.4,6,1,High School,Personal,Single,0
34,106700,54510,60,337,26,7,0.26,5,0,Bachelor,Home,Single,0
28,47526,43674,60,527,5,5,0.17,0,1,Bachelor,Business,Married,0
57,116758,22733,24,782,18,13,0.47,8,1,Bachelor,Personal,Married,0
41,105712,25080,24,433,12,10,0.21,3,0,PhD,Education,Single,1
22,148447,58412,36,689,6,10,0.6,6,1,Bachelor,Medical,Single,1
29,88477,63971,48,724,21,7,0.23,3,0,Master,Personal,Single,0
37,25695,44709,24,809,10,10,0.38,6,0,High School,Home,Single,0
35,59169,64846,36,726,6,3,0.55,4,0,Bachelor,Education,Single,1
33,67947,70480,12,773,12,8,0.29,0,0,Bachelor,Business,Married,0
44,67224,57960,60,660,12,5,0.55,3,0,High School,Personal,Single,0
36,65865,46152,48,510,20,2,0.48,2,1,PhD,Business,Single,0
49,45553,32250,36,478,0,2,0.6,5,1,Bachelor,Personal,Married,0
55,124501,90765,12,357,29,4,0.25,5,1,Bachelor,Business,Married,0
23,80410,53137,60,372,18,7,0.11,0,0,Master,Medical,Married,0
53,123754,87011,12,514,18,14,0.31,1,0,Bachelor,Education,Single,0
44,110895,51412,36,372,22,10,0.52,1,1,High School,Business,Married,0
43,44816,48876,24,766,14,4,0.32,9,0,Bachelor,Personal,Married,1
46,75026,99547,60,570,13,9,0.21,3,0,Bachelor,Home,Single,0
43,70705,78664,12,798,28,2,0.07,8,0,PhD,Personal,Single,0
43,81922,55227,24,653,2,6,0.24,1,1,High School,Personal,Single,0
