Age,Annual_Income,Loan_Amount,Loan_Term_Months,Credit_Score,Employment_Years,Num_Dependents,Existing_Debt,Education_Level,Property_Ownership,Loan_Purpose,Num_Prev_Loans,Num_Late_Payments,Debt_To_Income,Loan_To_Income,Loan_Approved
64,35651,127990,24,806,11,1,55943,3,1,1,5,1,1.569,3.59,1
44,124239,92029,60,769,19,0,6157,2,1,3,2,6,0.05,0.741,1
35,103931,25711,60,320,22,2,30178,2,0,3,5,2,0.29,0.247,1
52,127112,59962,12,527,24,4,29030,2,0,0,5,7,0.228,0.472,0
52,41715,25039,36,675,29,5,51134,3,0,1,2,3,1.226,0.6,1
44,180378,41561,36,429,28,3,65729,2,1,3,1,4,0.364,0.23,0
61,175158,6577,12,713,30,5,8164,0,0,2,0,2,0.047,0.038,1
32,170448,112792,60,370,17,2,1119,0,1,1,6,4,0.007,0.662,0
59,86350,15785,60,703,18,5,13351,1,1,1,5,8,0.155,0.183,0
22,96425,77227,36,696,3,4,56063,1,1,1,4,1,0.581,0.801,1
23,192708,123680,24,636,0,0,72076,2,0,0,3,6,0.374,0.642,0
57,111120,66957,48,804,14,0,45162,1,0,2,2,9,0.406,0.603,0
37,139889,70431,24,575,7,2,31760,3,0,0,5,7,0.227,0.503,0
22,190682,76894,60,312,14,5,49678,3,1,3,6,2,0.261,0.403,0
22,166130,60192,24,302,14,4,47628,0,0,2,0,3,0.287,0.362,1
48,99637,6462,48,523,21,3,40739,0,0,0,2,9,0.409,0.065,1
43,95194,133848,24,474,17,5,29738,1,1,1,7,1,0.312,1.406,1
57,101917,81106,24,684,15,5,46921,1,1,2,5,9,0.46,0.796,1
52,89200,53665,24,540,1,3,61068,3,0,1,3,8,0.685,0.602,0
53,130848,86010,24,846,19,1,23581,0,0,3,4,2,0.18,0.657,1
21,131022,77573,12,313,15,2,21485,1,1,2,2,8,0.164,0.592,1
39,173226,112803,60,494,2,4,36294,3,1,3,5,6,0.21,0.651,0
22,175611,124682,48,696,29,2,53001,0,1,3,1,5,0.302,0.71,1
64,85058,18386,60,730,1,3,1634,3,0,3,0,2,0.019,0.216,1
46,87068,129069,12,605,34,4,43969,3,0,2,4,6,0.505,1.482,0
52,124932,59460,12,633,25,0,93,0,1,3,2,2,0.001,0.476,0
26,186445,142293,12,709,4,0,28370,3,0,0,5,5,0.152,0.763,0
52,189226,120375,12,302,1,4,19750,1,0,0,4,7,0.104,0.636,1
24,162103,117660,24,751,19,2,16472,3,0,3,1,4,0.102,0.726,0
31,47785,96319,60,794,33,2,18934,1,1,1,2,2,0.396,2.016,0
37,184741,121582,36,716,33,0,43774,2,0,3,7,5,0.237,0.658,0
58,119475,140994,48,690,19,0,39125,2,1,3,4,7,0.327,1.18,1
44,27282,47771,12,672,24,3,66981,2,0,1,2,9,2.455,1.751,1
25,190696,57335,60,351,19,4,39103,3,1,2,7,2,0.205,0.301,1
54,92534,57949,12,675,24,2,60085,2,1,2,2,4,0.649,0.626,1
26,187777,100558,12,694,13,3,56543,2,0,3,4,8,0.301,0.536,0
42,194316,107272,12,441,11,2,16938,3,0,0,2,9,0.087,0.552,0
31,99964,7716,12,385,4,0,77492,0,1,0,1,9,0.775,0.077,0
36,193509,76916,12,763,1,4,51586,3,1,0,4,2,0.267,0.397,1
53,144006,55906,48,345,15,1,58024,1,0,3,5,1,0.403,0.388,1
29,75583,5463,60,537,29,4,39687,3,1,0,6,7,0.525,0.072,0
26,63392,79694,12,309,23,5,71129,0,1,0,4,6,1.122,1.257,0
36,32461,73694,12,829,29,1,26207,2,0,2,1,8,0.807,2.27,0
49,125123,25008,12,477,10,3,49354,3,0,3,1,3,0.394,0.2,1
23,35516,75474,12,305,13,1,37310,2,0,2,1,2,1.051,2.125,0
40,173586,43185,24,606,22,1,48960,1,0,1,7,9,0.282,0.249,1
56,146251,92924,24,847,15,3,61262,0,1,2,5,4,0.419,0.635,0
39,192340,39980,36,626,20,4,13403,2,0,3,5,0,0.07,0.208,1
46,192860,27504,12,655,3,3,13065,2,0,0,6,4,0.068,0.143,0
23,87493,59970,36,694,32,5,26801,2,0,3,6,2,0.306,0.685,0
39,61027,21766,48,599,13,0,29230,2,0,2,2,0,0.479,0.357,0
40,118547,121944,36,825,18,0,72706,3,1,3,2,2,0.613,1.029,0
52,198921,98922,60,584,4,1,29968,0,1,3,3,4,0.151,0.497,0
27,125127,147767,24,629,30,3,42517,0,0,2,6,4,0.34,1.181,0
61,173930,125494,24,349,17,3,53239,2,0,2,6,9,0.306,0.722,0
53,104003,13802,12,677,30,3,32655,0,0,1,2,7,0.314,0.133,1
60,64758,39159,12,837,29,5,62771,2,0,1,1,0,0.969,0.605,1
59,79312,16516,48,443,20,5,45984,1,1,2,3,6,0.58,0.208,0
38,93670,55492,48,359,29,4,11049,1,1,3,6,4,0.118,0.592,0
60,107279,34086,60,374,3,2,72321,1,1,2,1,2,0.674,0.318,1
21,40434,118758,12,302,4,2,64813,0,1,0,0,3,1.603,2.937,1
31,100769,35480,12,747,9,2,4655,2,0,1,7,2,0.046,0.352,1
48,91677,133023,48,574,26,4,72454,3,1,0,6,7,0.79,1.451,0
45,108555,115195,48,829,15,3,68972,3,1,3,5,3,0.635,1.061,1
43,153379,43737,48,514,29,2,21432,1,0,0,4,2,0.14,0.285,1
51,126665,14265,24,784,12,3,65896,1,1,2,0,1,0.52,0.113,1
50,196675,119165,36,628,20,1,70135,0,1,2,5,2,0.357,0.606,1
62,93803,124501,36,554,14,2,42936,3,1,2,5,6,0.458,1.327,0
55,195404,75990,12,686,19,1,13750,0,0,0,7,5,0.07,0.389,0
27,116703,20386,24,425,19,4,27987,1,0,0,1,9,0.24,0.175,1
36,46312,109718,48,849,4,0,26165,2,0,0,2,4,0.565,2.369,1
46,142961,42425,12,623,31,5,50541,2,0,2,4,7,0.354,0.297,0
22,65379,126635,24,503,5,4,24346,2,1,2,2,0,0.372,1.937,0
21,42297,58634,60,471,29,4,3514,1,1,2,2,2,0.083,1.386,1
32,27011,91988,24,516,25,4,24838,0,0,0,6,1,0.92,3.406,1
25,145234,111337,12,544,12,2,27559,2,0,0,4,1,0.19,0.767,0
57,69014,146215,36,635,28,1,59207,3,0,3,4,0,0.858,2.119,0
52,167810,72443,48,597,4,5,16385,3,1,1,0,4,0.098,0.432,0
29,119333,34424,60,481,24,2,18317,1,1,2,1,4,0.153,0.288,1
61,36120,93844,24,633,12,0,393,3,0,0,2,2,0.011,2.598,0
55,164839,46984,12,810,23,5,24881,3,0,1,7,8,0.151,0.285,0
39,47852,46505,12,682,30,4,27955,1,0,0,1,5,0.584,0.972,0
36,104239,107478,48,498,19,3,58308,0,0,0,1,9,0.559,1.031,0
23,157001,67699,12,631,7,0,58014,2,0,2,7,5,0.37,0.431,1
40,116575,119012,12,464,8,1,65430,1,0,1,6,9,0.561,1.021,0
44,120040,39758,48,541,20,0,72031,3,0,0,3,5,0.6,0.331,0
53,173510,141668,60,526,19,2,59596,2,0,1,0,1,0.343,0.816,0
44,30744,21374,36,750,14,3,1713,2,1,1,2,9,0.056,0.695,0
31,198489,123686,36,495,25,2,20428,2,0,2,5,9,0.103,0.623,0
28,163141,8775,24,503,10,5,62160,1,1,1,4,7,0.381,0.054,1
56,67359,32388,60,757,10,4,66171,2,0,3,4,5,0.982,0.481,1
58,175871,128800,24,556,26,4,60843,0,1,3,1,2,0.346,0.732,1
60,123746,26029,36,828,29,0,23003,3,0,2,7,9,0.186,0.21,1
40,145906,88981,48,571,18,4,42077,1,0,2,0,8,0.288,0.61,0
55,32597,58639,12,308,33,4,26730,1,1,3,0,1,0.82,1.799,0
45,72093,119010,36,500,22,5,72981,2,0,2,2,6,1.012,1.651,0
55,193298,36105,60,358,0,1,79817,3,1,1,2,2,0.413,0.187,0
45,139650,149740,36,692,2,1,72138,2,1,0,1,5,0.517,1.072,0
49,182489,131519,60,418,2,2,65573,2,1,2,1,4,0.359,0.721,0
38,174765,147429,60,698,27,2,28869,1,0,3,1,5,0.165,0.844,1
38,145956,107739,60,630,13,1,31076,0,1,0,3,7,0.213,0.738,1
22,140598,56796,24,566,29,0,25094,3,0,1,0,2,0.178,0.404,1
55,158241,20804,48,819,4,1,26817,3,1,0,1,1,0.169,0.131,1
36,178124,132732,36,779,14,2,10555,3,0,3,6,7,0.059,0.745,0
61,33036,12951,48,433,13,3,70656,3,1,0,0,0,2.139,0.392,0
56,56778,142521,12,654,13,4,50193,0,1,3,5,1,0.884,2.51,0
53,183806,24065,36,797,7,5,4715,1,0,2,4,9,0.026,0.131,0
24,179245,106503,48,406,7,3,34162,0,0,2,4,0,0.191,0.594,0
53,186475,110072,48,589,18,3,38458,2,0,3,0,4,0.206,0.59,0
34,162416,145202,12,446,31,4,3140,1,0,2,5,7,0.019,0.894,0
41,43800,94360,60,626,30,1,74174,0,0,1,4,1,1.693,2.154,1
40,50372,67287,36,714,28,0,17383,3,0,0,4,3,0.345,1.336,1
28,86516,142126,36,509,10,3,17718,3,0,3,4,3,0.205,1.643,0
27,45538,112357,12,595,12,0,76160,1,0,3,2,6,1.672,2.467,0
23,88918,34670,60,697,26,5,57399,0,0,3,5,0,0.646,0.39,0
37,171045,54112,36,402,18,5,21863,1,1,1,7,8,0.128,0.316,1
53,96155,93388,36,807,25,5,71626,3,1,1,2,2,0.745,0.971,0
32,84500,94156,36,508,8,2,11377,0,1,1,0,5,0.135,1.114,1
42,192647,52922,60,727,27,3,60523,3,1,3,0,9,0.314,0.275,0
42,198333,98348,12,692,31,5,14870,1,0,1,3,4,0.075,0.496,1
50,135659,84335,36,408,2,2,57487,1,1,2,7,3,0.424,0.622,1
58,52716,31312,48,647,31,5,19300,1,1,0,2,8,0.366,0.594,1
58,159308,71985,60,349,4,1,55951,1,1,2,0,8,0.351,0.452,1
28,171920,135744,24,404,7,3,67639,1,0,2,7,0,0.393,0.79,1
47,27352,105963,12,719,13,2,72126,2,0,1,2,6,2.637,3.874,0
47,158004,36551,48,672,2,5,42980,1,1,3,3,9,0.272,0.231,1
54,101449,94813,36,326,23,2,32050,1,1,2,0,8,0.316,0.935,0
41,33556,106025,24,572,12,5,2921,3,1,0,0,4,0.087,3.16,1
50,111836,129342,12,639,28,1,70270,1,0,1,0,0,0.628,1.157,1
53,161570,14637,60,600,7,0,30328,0,1,2,0,7,0.188,0.091,0
48,75098,48258,24,779,30,5,60820,1,1,1,1,4,0.81,0.643,1
53,137169,145896,24,843,25,0,23138,2,0,0,5,5,0.169,1.064,0
25,165641,134553,48,564,17,3,12094,1,1,1,5,6,0.073,0.812,1
39,151060,31950,12,841,17,1,65264,3,1,3,2,9,0.432,0.212,1
24,155544,132870,48,465,6,3,9028,0,1,2,2,6,0.058,0.854,1
55,25340,5215,48,615,15,0,15432,0,1,2,7,6,0.609,0.206,0
37,107302,110603,36,300,32,1,43819,1,1,3,7,0,0.408,1.031,1
64,25138,16523,60,560,2,4,5312,1,1,0,2,6,0.211,0.657,0
48,156430,73689,24,362,3,1,25973,1,1,0,3,2,0.166,0.471,0
50,144619,28834,12,782,3,1,55305,1,1,1,6,4,0.382,0.199,1
49,110376,39474,60,620,8,4,28973,3,0,2,1,9,0.262,0.358,0
26,124931,48066,60,500,16,2,44390,3,1,0,6,4,0.355,0.385,1
55,186726,15400,12,521,16,2,16099,0,1,3,2,7,0.086,0.082,0
61,181951,130211,60,451,32,2,49956,1,1,3,7,6,0.275,0.716,0
57,106532,15345,36,761,19,0,14063,3,0,3,7,6,0.132,0.144,1
44,80778,38896,60,516,13,1,9605,3,1,0,2,5,0.119,0.482,0
49,62772,33899,36,495,21,5,77904,0,0,3,0,6,1.241,0.54,0
51,83478,33229,24,501,26,4,72964,0,1,2,7,6,0.874,0.398,1
55,51762,10583,24,533,2,5,51205,2,0,0,6,4,0.989,0.204,0
53,169355,140969,48,440,23,0,15817,3,0,0,7,4,0.093,0.832,0
41,195492,76537,36,797,29,4,2420,0,0,2,0,3,0.012,0.392,0
52,80568,140639,24,356,7,5,69853,3,1,3,7,3,0.867,1.746,0
43,110090,79807,60,803,21,0,27728,3,1,0,6,4,0.252,0.725,1
53,45219,134648,12,441,24,0,57858,1,0,2,6,9,1.28,2.978,1
23,82169,117652,12,838,9,0,49089,1,1,2,0,8,0.597,1.432,1
38,99965,149401,36,405,28,4,28964,1,0,1,2,5,0.29,1.495,0
45,109754,76792,48,464,0,5,76992,1,1,3,0,7,0.701,0.7,0
62,102988,136300,60,514,20,5,42240,3,1,3,2,8,0.41,1.323,0
51,175023,42052,36,370,23,3,12675,2,0,2,6,3,0.072,0.24,0
23,157379,51032,12,389,8,0,60049,2,0,0,3,6,0.382,0.324,0
60,105388,38686,36,527,25,2,48436,2,1,1,3,4,0.46,0.367,0
44,115768,81981,60,378,8,1,40213,3,0,1,4,3,0.347,0.708,1
52,60428,103802,24,648,19,3,28111,2,0,0,7,6,0.465,1.718,0
42,117021,138881,60,545,34,3,4284,3,1,1,1,2,0.037,1.187,1
43,143418,47818,24,571,8,4,17585,0,0,0,0,0,0.123,0.333,0
22,195047,105422,24,702,21,3,65039,2,1,1,5,6,0.333,0.54,0
47,157212,76927,24,415,0,5,7131,3,1,0,0,8,0.045,0.489,0
62,180914,84465,36,734,4,4,43382,0,0,2,1,1,0.24,0.467,1
22,51421,118221,12,829,8,4,33527,1,0,2,7,6,0.652,2.299,1
46,26708,42333,36,741,18,2,30936,0,0,1,7,9,1.158,1.585,0
